"","PLT_CN","PLOTID","MEASYEAR","ECOSEC","ECOPROV","OWNGRPCD","FORTYPGRP","STDORGCD","RDDISTCD","SLOPE","QMD","RD.comm","RD.sap","STDAGE","SITECLCD","LAT","LON","Z"
"21","14124_1_2021","14124_1",2021,"M221A","M221",40,500,0,5,37.3114319856986,10.5406373493645,0.632879662537618,0.0640271430158148,76.6666666666667,5.33333333333333,40.3901792516541,-77.4798810221901,1
"22","8747_1_2022","8747_1",2022,"M221A","M221",40,500,0,4,19.695711975279,14.1482073929084,0.346857618913033,0.0368635851796583,77,5.14285714285714,40.2976341349049,-77.4925346104338,1
"23","9003_1_2021","9003_1",2021,"M221A","M221",40,500,0,5,36.1808072052477,11.1293509959353,0.503306975647026,0.154787384084365,79.4285714285714,5.28571428571429,41.0425005705291,-77.5904961062743,1
"24","9003_2_2021","9003_2",2021,"M221A","M221",40,500,0,3,36.8231944502502,13.4887236844369,0.601062881784022,0.179501258437466,90.1666666666667,5.16666666666667,41.043559189222,-77.5831905797077,1
"25","9092_1_2021","9092_1",2021,"M221B","M221",40,800,0,3,10.0277955685395,12.1908476430214,0.447108855127228,0.110496908790881,95,5.25,40.9711461566602,-77.9536794963256,1
"26","9146_2_2021","9146_2",2021,"M221A","M221",40,500,0,4,20.1182606933979,14.3550619757169,0.528460580167091,0.0523668589917511,66.125,4.5,40.6232339126716,-76.9602247860079,1
"27","9151_4_2021","9151_4",2021,"M221A","M221",40,100,0,5,6.91612507982789,11.3816610753746,0.708633659877064,0.0169551578343679,91,4.625,40.7376947838438,-77.4283222270918,1
"28","9151_5_2021","9151_5",2021,"M221A","M221",40,500,0,5,20.8388270269447,10.8827969239397,0.576884779998668,0.0286155979245932,91,5.11111111111111,40.7373330175355,-77.422652104071,1
"29","9151_6_2021","9151_6",2021,"M221A","M221",40,800,0,5,20.2207034997003,12.2984353176816,0.6001686570123,0.00375308276650912,81.3333333333333,4.33333333333333,40.7395430874237,-77.4181258980671,1
"30","9165_1_2021","9165_1",2021,"221F","221",40,800,0,5,9.87463263459564,12.423818366966,0.393681743624042,0.0663812436599345,59.8,4.3,41.9118570939837,-79.3097136271953,1
"31","9176_2_2021","9176_2",2021,"M221A","M221",40,500,0,3,15.8279959102223,10.8931152066832,0.709263099179119,0.0342630727064525,66.2,5.2,40.8019640561803,-76.6387615990672,1
"32","9178_1_2021","9178_1",2021,"M221A","M221",40,500,0,2,19.9473383718418,18.1043763774269,0.377556608155874,0.0319747386065504,78.6666666666667,5.33333333333333,40.430628051172,-76.8917097977029,1
"33","9204_1_2021","9204_1",2021,"M221A","M221",40,500,0,3,28.0861957492784,10.8010135570485,0.712452692380147,0.106212336628653,63.3333333333333,4.44444444444444,40.457148793577,-77.1249989504997,1
"34","9363_2_2021","9363_2",2021,"211G","211",40,800,0,5,29.1111686083661,10.0210395806569,0.593115373956722,0.132470729487242,84.5,5.33333333333333,41.912485905138,-78.2445814178128,1
"35","9602_1_2021","9602_1",2021,"M221A","M221",40,500,0,4,19.7671359943084,12.2073613229405,0.45039533345654,0.115191762072045,65.4285714285714,5,40.1504833176913,-77.8641691875294,1
"36","9608_1_2021","9608_1",2021,"M221A","M221",40,500,0,6,35.7057178511385,11.709163290839,0.892765518734628,0.0027432145430297,104.1,5.2,40.4951903361232,-77.8262542190209,1
"37","9621_1_2021","9621_1",2021,"211F","211",40,800,0,5,15.1840037338001,10.4604416414021,0.57658294668778,0.0628498156229667,59.8888888888889,4.55555555555556,41.7949523435708,-77.252766636217,1
"38","9705_2_2021","9705_2",2021,"M221A","M221",40,800,0,5,20.6148462366094,10.5536403780133,0.522065418307325,0.0403714303983885,86.5714285714286,4.66666666666667,40.9067083453794,-77.5974461801762,1
